REF_AREA_LABEL,REF_AREA,TIME_PERIOD,OBS_VALUE_x,UNIT_MEASURE,OBS_VALUE_y,UNIT_MEASURE_LABEL_x,SEX,UNIT_MEASURE_LABEL_y,MEAN_OBS_OF_ALL_LEVEL_OF_KNOWLEDGE
Honduras,HND,2018,136.0,RANK,50.4,Percentage of population,_T,Percentage,7.682555555555556
Honduras,HND,2017,134.0,RANK,49.8,Percentage of population,_T,Percentage,7.682555555555556
Croatia,HRV,2019,63.0,RANK,18.3,Percentage of population,_T,Percentage,9.565222222222223
Croatia,HRV,2018,67.0,RANK,18.3,Percentage of population,_T,Percentage,9.565222222222223
Croatia,HRV,2017,66.0,RANK,19.3,Percentage of population,_T,Percentage,9.565222222222223
Hungary,HUN,2019,80.0,RANK,12.3,Percentage of population,_T,Percentage,5.079888888888889
Hungary,HUN,2018,63.0,RANK,12.3,Percentage of population,_T,Percentage,5.079888888888889
Hungary,HUN,2017,54.0,RANK,12.8,Percentage of population,_T,Percentage,5.079888888888889
Indonesia,IDN,2019,90.0,RANK,9.4,Percentage of population,_T,Percentage,4.747111111111111
Indonesia,IDN,2018,98.0,RANK,9.8,Percentage of population,_T,Percentage,4.747111111111111
Indonesia,IDN,2017,100.0,RANK,10.6,Percentage of population,_T,Percentage,4.747111111111111
Ireland,IRL,2019,34.0,RANK,13.8,Percentage of population,_T,Percentage,6.894222222222222
Iceland,ISL,2017,4.0,RANK,8.8,Percentage of population,_T,Percentage,3.202
Italy,ITA,2019,117.0,RANK,20.0,Percentage of population,_T,Percentage,10.169111111111112
Italy,ITA,2018,122.0,RANK,20.1,Percentage of population,_T,Percentage,10.169111111111112
Italy,ITA,2017,119.0,RANK,20.3,Percentage of population,_T,Percentage,10.169111111111112
Jamaica,JAM,2019,135.0,RANK,11.0,Percentage of population,_T,Percentage,5.347666666666666
Jamaica,JAM,2018,134.0,RANK,12.6,Percentage of population,_T,Percentage,5.347666666666666
Jamaica,JAM,2017,130.0,RANK,19.3,Percentage of population,_T,Percentage,5.347666666666666
Jordan,JOR,2018,48.0,RANK,15.7,Percentage of population,_T,Percentage,17.842444444444443
Kazakhstan,KAZ,2019,51.0,RANK,4.3,Percentage of population,_T,Percentage,5.163333333333333
Kazakhstan,KAZ,2018,58.0,RANK,4.3,Percentage of population,_T,Percentage,5.163333333333333
Kyrgyz Republic,KGZ,2019,115.0,RANK,20.1,Percentage of population,_T,Percentage,6.723333333333334
Kyrgyz Republic,KGZ,2018,105.0,RANK,22.4,Percentage of population,_T,Percentage,6.723333333333334
Kyrgyz Republic,KGZ,2017,101.0,RANK,25.6,Percentage of population,_T,Percentage,6.723333333333334
Lao PDR,LAO,2018,77.0,RANK,18.3,Percentage of population,_T,Percentage,3.9243333333333332
Sri Lanka,LKA,2019,98.0,RANK,14.3,Percentage of population,_T,Percentage,5.867111111111111
Lesotho,LSO,2017,10.0,RANK,49.7,Percentage of population,_T,Percentage,12.880333333333333
Lithuania,LTU,2019,12.0,RANK,20.9,Percentage of population,_T,Percentage,9.964222222222222
Lithuania,LTU,2018,21.0,RANK,20.6,Percentage of population,_T,Percentage,9.964222222222222
Lithuania,LTU,2017,33.0,RANK,22.9,Percentage of population,_T,Percentage,9.964222222222222
Luxembourg,LUX,2019,27.0,RANK,17.4,Percentage of population,_T,Percentage,6.096444444444445
Latvia,LVA,2019,38.0,RANK,21.6,Percentage of population,_T,Percentage,9.482777777777777
Latvia,LVA,2018,42.0,RANK,22.9,Percentage of population,_T,Percentage,9.482777777777777
Latvia,LVA,2017,32.0,RANK,23.3,Percentage of population,_T,Percentage,9.482777777777777
Moldova,MDA,2019,83.0,RANK,25.2,Percentage of population,_T,Percentage,1.5816666666666666
Mexico,MEX,2018,139.0,RANK,41.9,Percentage of population,_T,Percentage,3.8372222222222216
North Macedonia,MKD,2019,122.0,RANK,21.8,Percentage of population,_T,Percentage,20.852555555555554
North Macedonia,MKD,2018,131.0,RANK,21.6,Percentage of population,_T,Percentage,20.852555555555554
Mali,MLI,2019,130.0,RANK,42.3,Percentage of population,_T,Percentage,13.339
Mali,MLI,2018,133.0,RANK,43.8,Percentage of population,_T,Percentage,13.339
Mali,MLI,2017,122.0,RANK,44.9,Percentage of population,_T,Percentage,13.339
Malta,MLT,2019,33.0,RANK,16.9,Percentage of population,_T,Percentage,3.6738888888888885
Malta,MLT,2018,17.0,RANK,17.1,Percentage of population,_T,Percentage,3.6738888888888885
Malta,MLT,2017,18.0,RANK,16.8,Percentage of population,_T,Percentage,3.6738888888888885
Montenegro,MNE,2019,57.0,RANK,22.6,Percentage of population,_T,Percentage,16.727999999999998
Montenegro,MNE,2018,70.0,RANK,24.5,Percentage of population,_T,Percentage,16.727999999999998
Montenegro,MNE,2017,89.0,RANK,23.8,Percentage of population,_T,Percentage,16.727999999999998
Mongolia,MNG,2018,59.0,RANK,28.4,Percentage of population,_T,Percentage,6.554555555555556
Mauritania,MRT,2019,43.0,RANK,31.8,Percentage of population,_T,Percentage,14.988333333333335
Mauritius,MUS,2017,20.0,RANK,10.4,Percentage of population,_T,Percentage,6.524111111111111
Malawi,MWI,2019,75.0,RANK,50.7,Percentage of population,_T,Percentage,4.856333333333333
Malaysia,MYS,2019,48.0,RANK,8.4,Percentage of population,_T,Percentage,3.2116666666666664
Malaysia,MYS,2018,44.0,RANK,5.6,Percentage of population,_T,Percentage,3.2116666666666664
Nigeria,NGA,2018,115.0,RANK,40.1,Percentage of population,_T,Percentage,13.040333333333335
Netherlands,NLD,2019,22.0,RANK,13.4,Percentage of population,_T,Percentage,4.401888888888889
Netherlands,NLD,2018,29.0,RANK,13.2,Percentage of population,_T,Percentage,4.401888888888889
Netherlands,NLD,2017,21.0,RANK,13.3,Percentage of population,_T,Percentage,4.401888888888889
Norway,NOR,2019,11.0,RANK,12.7,Percentage of population,_T,Percentage,4.814666666666667
Norway,NOR,2018,10.0,RANK,12.7,Percentage of population,_T,Percentage,4.814666666666667
Norway,NOR,2017,2.0,RANK,12.9,Percentage of population,_T,Percentage,4.814666666666667
Pakistan,PAK,2018,121.0,RANK,21.9,Percentage of population,_T,Percentage,6.491666666666667
Panama,PAN,2019,56.0,RANK,21.5,Percentage of population,_T,Percentage,5.7571111111111115
Panama,PAN,2018,72.0,RANK,21.4,Percentage of population,_T,Percentage,5.7571111111111115
Panama,PAN,2017,67.0,RANK,20.7,Percentage of population,_T,Percentage,5.7571111111111115
Peru,PER,2019,134.0,RANK,20.2,Percentage of population,_T,Percentage,3.7975555555555554
Peru,PER,2018,129.0,RANK,20.5,Percentage of population,_T,Percentage,3.7975555555555554
Peru,PER,2017,127.0,RANK,21.7,Percentage of population,_T,Percentage,3.7975555555555554
Philippines,PHL,2018,120.0,RANK,16.7,Percentage of population,_T,Percentage,2.7053333333333334
Poland,POL,2019,46.0,RANK,14.8,Percentage of population,_T,Percentage,5.565888888888889
Poland,POL,2018,57.0,RANK,15.4,Percentage of population,_T,Percentage,5.565888888888889
Poland,POL,2017,52.0,RANK,14.8,Percentage of population,_T,Percentage,5.565888888888889
Portugal,PRT,2019,9.0,RANK,16.2,Percentage of population,_T,Percentage,7.310222222222222
Portugal,PRT,2018,12.0,RANK,17.2,Percentage of population,_T,Percentage,7.310222222222222
Portugal,PRT,2017,12.0,RANK,17.3,Percentage of population,_T,Percentage,7.310222222222222
Paraguay,PRY,2019,93.0,RANK,23.5,Percentage of population,_T,Percentage,4.56
Paraguay,PRY,2018,95.0,RANK,24.2,Percentage of population,_T,Percentage,4.56
Paraguay,PRY,2017,99.0,RANK,26.4,Percentage of population,_T,Percentage,4.56
Romania,ROU,2019,61.0,RANK,23.4,Percentage of population,_T,Percentage,4.177222222222222
Romania,ROU,2018,65.0,RANK,23.8,Percentage of population,_T,Percentage,4.177222222222222
Romania,ROU,2017,70.0,RANK,23.5,Percentage of population,_T,Percentage,4.177222222222222
Russian Federation,RUS,2019,73.0,RANK,12.3,Percentage of population,_T,Percentage,7.131888888888889
Russian Federation,RUS,2018,78.0,RANK,12.6,Percentage of population,_T,Percentage,7.131888888888889
Russian Federation,RUS,2017,85.0,RANK,13.2,Percentage of population,_T,Percentage,7.131888888888889
Senegal,SEN,2018,96.0,RANK,37.8,Percentage of population,_T,Percentage,9.904555555555554
Serbia,SRB,2019,99.0,RANK,22.4,Percentage of population,_T,Percentage,11.669333333333334
Serbia,SRB,2018,104.0,RANK,23.0,Percentage of population,_T,Percentage,11.669333333333334
Serbia,SRB,2017,106.0,RANK,24.3,Percentage of population,_T,Percentage,11.669333333333334
Slovak Republic,SVK,2019,86.0,RANK,11.4,Percentage of population,_T,Percentage,13.434444444444445
